District Code,District Name,BLDG. NO.,Building Name,January State FTE F&RL Count,January Membership,2023 F&RL Percentage,Community Eligiblity Provision (CEP) Participating Building,,,,,,,
016-090,JACKSON R-II,2050,RUSSELL HAWKINS JR. HIGH, 311.40 , 870.33 ,35.80%,,,,,,,,
016-090,JACKSON R-II,3000,JACKSON MIDDLE, 309.90 , 805.42 ,38.50%,,,,,,,,
016-090,JACKSON R-II,4015,ORCHARD DRIVE ELEM., 206.50 , 380.54 ,54.30%,,,,,,,,
016-090,JACKSON R-II,4060,GORDONVILLE ATTENDANCE CTR, 15.00 , 50.00 ,30.00%,,,,,,,,
016-090,JACKSON R-II,4100,MILLERSVILLE ATTENDANCE CTR., 23.00 , 44.00 ,52.30%,,,,,,,,
016-090,JACKSON R-II,4110,NORTH ELEM., 101.00 , 256.67 ,39.40%,,,,,,,,
016-090,JACKSON R-II,4130,SOUTH ELEM., 206.00 , 405.54 ,50.80%,,,,,,,,
016-090,JACKSON R-II,4140,EAST ELEMENTARY, 109.50 , 442.61 ,24.70%,,,,,,,,
016-090,JACKSON R-II,4160,WEST LANE ELEM., 117.50 , 387.55 ,30.30%,,,,,,,,
016-092,DELTA R-V,1050,DELTA HIGH, 72.00 , 117.00 ,61.50%,,,,,,,,
016-092,DELTA R-V,4020,DELTA ELEM., 47.00 , 90.00 ,52.20%,,,,,,,,
016-094,OAK RIDGE R-VI,1050,OAK RIDGE HIGH, 62.00 , 195.00 ,31.80%,,,,,,,,
016-094,OAK RIDGE R-VI,4020,OAK RIDGE ELEM., 56.00 , 148.00 ,37.80%,,,,,,,,
016-096,CAPE GIRARDEAU 63,1050,CENTRAL HIGH," 1,228.90 "," 1,228.90 ",100.00%,Yes,,,,,,,
016-096,CAPE GIRARDEAU 63,2050,CENTRAL JR. HIGH, 589.40 , 589.43 ,100.00%,Yes,,,,,,,
016-096,CAPE GIRARDEAU 63,4020,ALMA SCHRADER ELEM., 342.10 , 342.07 ,100.00%,Yes,,,,,,,
016-096,CAPE GIRARDEAU 63,4040,FRANKLIN ELEM., 233.30 , 233.26 ,100.00%,Yes,,,,,,,
016-096,CAPE GIRARDEAU 63,4050,BLANCHARD ELEM., 291.00 , 291.02 ,100.00%,Yes,,,,,,,
016-096,CAPE GIRARDEAU 63,4060,CLIPPARD ELEM., 344.70 , 344.68 ,100.00%,Yes,,,,,,,
016-096,CAPE GIRARDEAU 63,4080,JEFFERSON ELEM., 350.70 , 350.70 ,100.00%,Yes,,,,,,,
016-096,CAPE GIRARDEAU 63,4090,CENTRAL MIDDLE, 599.50 , 599.53 ,100.00%,Yes,,,,,,,
016-097,NELL HOLCOMB R-IV,4020,NELL HOLCOMB ELEM., 101.00 , 242.59 ,41.60%,,,,,,,,
017-121,HALE R-I,1050,HALE HIGH, 28.00 , 64.00 ,43.80%,,,,,,,,
017-121,HALE R-I,4020,HALE ELEM., 18.00 , 35.00 ,51.40%,,,,,,,,
017-122,TINA-AVALON R-II,1050,TINA-AVALON HIGH, 23.00 , 64.00 ,35.90%,,,,,,,,
017-122,TINA-AVALON R-II,4020,TINA-AVALON ELEM., 26.40 , 68.60 ,38.50%,,,,,,,,
017-124,BOSWORTH R-V,1050,BOSWORTH HIGH, 14.00 , 14.00 ,100.00%,Yes,,,,,,,
017-124,BOSWORTH R-V,4020,BOSWORTH ELEM., 29.00 , 29.00 ,100.00%,Yes,,,,,,,
017-125,CARROLLTON R-VII,1050,CARROLLTON SENIOR HIGH, 75.10 , 233.33 ,32.20%,,,,,,,,
017-125,CARROLLTON R-VII,3000,MIDDLE SCHOOL, 103.00 , 262.25 ,39.30%,,,,,,,,
017-125,CARROLLTON R-VII,4010,CARROLLTON ELEMENTARY SCHOOL, 139.00 , 319.00 ,43.60%,,,,,,,,
017-126,NORBORNE R-VIII,1050,NORBORNE HIGH, 23.90 , 73.32 ,32.70%,,,,,,,,
017-126,NORBORNE R-VIII,4020,NORBORNE ELEM., 32.00 , 66.00 ,48.50%,,,,,,,,
018-047,EAST CARTER CO. R-II,1050,EAST CARTER CO. R-II HIGH, 111.50 , 173.41 ,64.30%,,,,,,,,
018-047,EAST CARTER CO. R-II,3000,EAST CARTER CO. R-II MIDDLE, 88.30 , 142.26 ,62.10%,,,,,,,,
018-047,EAST CARTER CO. R-II,4020,EAST CARTER CO. R-II ELEM., 215.60 , 323.57 ,66.60%,,,,,,,,
018-050,VAN BUREN R-I,1050,VAN BUREN HIGH, 123.00 , 222.00 ,55.40%,,,,,,,,
018-050,VAN BUREN R-I,4020,VAN BUREN ELEM., 177.70 , 249.57 ,71.20%,,,,,,,,
019-139,ARCHIE R-V,1050,ARCHIE HIGH, 90.40 , 277.38 ,32.60%,,,,,,,,
019-139,ARCHIE R-V,4020,CASS CO. ELEM., 66.00 , 222.00 ,29.70%,,,,,,,,
019-140,STRASBURG C-3,4020,STRASBURG ELEM., 33.00 , 120.00 ,27.50%,,,,,,,,
019-142,RAYMORE-PECULIAR R-II,1050,RAYMORE-PECULIAR SR. HIGH, 558.10 ," 1,983.00 ",28.10%,,,,,,,,
019-142,RAYMORE-PECULIAR R-II,3000,RAYMORE-PECULIAR EAST MIDDLE, 256.40 , 796.40 ,32.20%,,,,,,,,
019-142,RAYMORE-PECULIAR R-II,3010,RAYMORE-PECULIAR SOUTH MIDDLE, 242.10 , 670.34 ,36.10%,,,,,,,,
019-142,RAYMORE-PECULIAR R-II,4020,PECULIAR ELEM., 137.00 , 391.00 ,35.00%,,,,,,,,
019-142,RAYMORE-PECULIAR R-II,4040,RAYMORE ELEM., 125.80 , 380.80 ,33.00%,,,,,,,,
019-142,RAYMORE-PECULIAR R-II,4060,STONEGATE ELEM., 110.00 , 311.00 ,35.40%,,,,,,,,
019-142,RAYMORE-PECULIAR R-II,4070,TIMBER CREEK ELEM., 91.00 , 396.20 ,23.00%,,,,,,,,
019-142,RAYMORE-PECULIAR R-II,4080,EAGLE GLEN ELEMENTARY, 123.00 , 406.02 ,30.30%,,,,,,,,
019-142,RAYMORE-PECULIAR R-II,4090,CREEKMOOR ELEM., 74.00 , 366.03 ,20.20%,,,,,,,,
019-142,RAYMORE-PECULIAR R-II,5000,BRIDLE RIDGE ELEMENTARY, 96.00 , 412.90 ,23.30%,,,,,,,,
019-144,SHERWOOD CASS R-VIII,1050,SHERWOOD HIGH, 92.00 , 252.00 ,36.50%,,,,,,,,
019-144,SHERWOOD CASS R-VIII,3000,SHERWOOD MIDDLE, 62.00 , 167.00 ,37.10%,,,,,,,,
019-144,SHERWOOD CASS R-VIII,4020,SHERWOOD ELEM., 149.00 , 344.00 ,43.30%,,,,,,,,
019-147,EAST LYNNE 40,4020,EAST LYNNE ELEM., 54.00 , 151.00 ,35.80%,,,,,,,,
019-148,PLEASANT HILL R-III,1050,PLEASANT HILL HIGH, 94.10 , 658.61 ,14.30%,,,,,,,,
019-148,PLEASANT HILL R-III,3000,PLEASANT HILL MIDDLE, 46.00 , 352.70 ,13.00%,,,,,,,,
019-148,PLEASANT HILL R-III,4020,PLEASANT HILL PRIMARY, 91.00 , 446.01 ,20.40%,,,,,,,,
019-148,PLEASANT HILL R-III,4040,PLEASANT HILL ELEM., 64.00 , 312.00 ,20.50%,,,,,,,,
019-148,PLEASANT HILL R-III,4060,PLEASANT HILL INTERMEDIATE, 51.00 , 333.00 ,15.30%,,,,,,,,
019-149,HARRISONVILLE R-IX,1050,HARRISONVILLE HIGH, 191.40 , 676.51 ,28.30%,,,,,,,,
019-149,HARRISONVILLE R-IX,3000,HARRISONVILLE MIDDLE, 194.70 , 537.53 ,36.20%,,,,,,,,
019-149,HARRISONVILLE R-IX,4020,HARRISONVILLE ELEM., 153.20 , 414.91 ,36.90%,,,,,,,,
019-149,HARRISONVILLE R-IX,4040,MCEOWEN ELEM., 113.00 , 302.38 ,37.40%,,,,,,,,
019-149,HARRISONVILLE R-IX,4060,EARLY CHILDHOOD CTR., 48.40 , 134.32 ,36.00%,,,,,,,,
019-150,DREXEL R-IV,1050,DREXEL HIGH, 36.00 , 118.00 ,30.50%,,,,,,,,
019-150,DREXEL R-IV,4020,DREXEL ELEM., 73.00 , 166.00 ,44.00%,,,,,,,,
019-151,MIDWAY R-I,1050,MIDWAY HIGH, 69.00 , 209.00 ,33.00%,,,,,,,,
019-151,MIDWAY R-I,4020,MIDWAY ELEM., 85.00 , 242.00 ,35.10%,,,,,,,,
019-152,BELTON 124,1050,BELTON HIGH, 575.50 ," 1,333.63 ",43.20%,,,,,,,,
019-152,BELTON 124,1055,BELTON MIDDLE SCHOOL, 311.00 , 634.45 ,49.00%,,,,,,,,
019-152,BELTON 124,4020,CAMBRIDGE ELEM., 250.50 , 428.54 ,58.50%,,,,,,,,
019-152,BELTON 124,4040,Wilckens STEAM Acad @Hillcrest, 178.00 , 472.00 ,37.70%,,,,,,,,
019-152,BELTON 124,4060,GLADDEN ELEM., 230.00 , 375.00 ,61.30%,,,,,,,,
019-152,BELTON 124,4080,MILL CREEK UPPER ELEM., 273.00 , 479.00 ,57.00%,,,,,,,,
019-152,BELTON 124,4090,KENTUCKY TRAIL ELEM., 143.00 , 327.00 ,43.70%,,,,,,,,
020-001,STOCKTON R-I,1050,STOCKTON HIGH, 123.40 , 280.41 ,44.00%,,,,,,,,
020-001,STOCKTON R-I,3000,STOCKTON MIDDLE, 124.00 , 273.49 ,45.30%,,,,,,,,
020-001,STOCKTON R-I,4020,STOCKTON ELEM., 192.50 , 358.00 ,53.80%,,,,,,,,
020-002,EL DORADO SPRINGS R-II,1050,EL DORADO SPRINGS HIGH, 134.60 , 335.73 ,40.10%,,,,,,,,
020-002,EL DORADO SPRINGS R-II,3000,EL DORADO SPRINGS MIDDLE, 120.00 , 239.00 ,50.20%,,,,,,,,
020-002,EL DORADO SPRINGS R-II,4040,EL DORADO SPRINGS ELEM., 528.00 , 530.00 ,99.60%,Yes,,,,,,,
021-148,NORTHWESTERN R-I,1050,NORTHWESTERN HIGH, 31.00 , 71.00 ,43.70%,,,,,,,,
021-148,NORTHWESTERN R-I,4020,NORTHWESTERN ELEM., 32.00 , 77.00 ,41.60%,,,,,,,,
021-149,BRUNSWICK R-II,1050,BRUNSWICK HIGH, 47.00 , 107.00 ,43.90%,,,,,,,,
021-149,BRUNSWICK R-II,4020,BRUNSWICK ELEM., 82.00 , 145.00 ,56.60%,,,,,,,,
021-150,KEYTESVILLE R-III,1050,KEYTESVILLE HIGH, 19.00 , 53.00 ,35.80%,,,,,,,,
021-150,KEYTESVILLE R-III,4020,KEYTESVILLE ELEM., 17.00 , 55.00 ,30.90%,,,,,,,,
021-151,SALISBURY R-IV,1050,SALISBURY HIGH, 84.00 , 236.47 ,35.50%,,,,,,,,
021-151,SALISBURY R-IV,4040,SALISBURY ELEM., 92.00 , 216.06 ,42.60%,,,,,,,,
022-088,CHADWICK R-I,1050,CHADWICK HIGH, 49.00 , 111.00 ,44.10%,,,,,,,,
022-088,CHADWICK R-I,4020,CHADWICK ELEMENTARY, 77.00 , 139.00 ,55.40%,,,,,,,,
022-089,Nixa Public Schools,1050,NIXA HIGH, 368.80 ," 1,834.80 ",20.10%,,,,,,,,
022-089,Nixa Public Schools,3000,NIXA JUNIOR HIGH, 278.00 ," 1,061.40 ",26.20%,,,,,,,,
022-089,Nixa Public Schools,4040,ESPY ELEM., 151.80 , 405.02 ,37.50%,,,,,,,,
022-089,Nixa Public Schools,4050,CENTURY ELEM., 163.60 , 614.74 ,26.60%,,,,,,,,
022-089,Nixa Public Schools,4060,NICHOLAS A. INMAN INTERMEDIATE, 107.00 , 388.00 ,27.60%,,,,,,,,
022-089,Nixa Public Schools,4070,MATHEWS ELEM., 137.00 , 465.00 ,29.50%,,,,,,,,
022-089,Nixa Public Schools,4080,SUMMIT INTERMEDIATE SCHOOL, 120.00 , 482.84 ,24.90%,,,,,,,,
022-089,Nixa Public Schools,4090,HIGH POINTE ELEM., 226.00 , 619.00 ,36.50%,,,,,,,,
022-089,Nixa Public Schools,4100,JOHN THOMAS SCHOOL OF DISCOVER, 76.50 , 479.45 ,15.90%,,,,,,,,
022-090,SPARTA R-III,1050,SPARTA HIGH, 105.00 , 240.15 ,43.70%,,,,,,,,
022-090,SPARTA R-III,3000,SPARTA MIDDLE, 91.00 , 199.56 ,45.60%,,,,,,,,
022-090,SPARTA R-III,4020,SPARTA ELEM., 126.50 , 249.50 ,50.70%,,,,,,,,
022-091,BILLINGS R-IV,1050,BILLINGS SR. HIGH, 54.00 , 163.00 ,33.10%,,,,,,,,
022-091,BILLINGS R-IV,4020,BILLINGS ELEM., 95.00 , 209.00 ,45.50%,,,,,,,,
022-092,CLEVER R-V,1050,CLEVER HIGH, 108.50 , 389.54 ,27.90%,,,,,,,,
022-092,CLEVER R-V,4020,CLEVER ELEM., 287.00 , 851.64 ,33.70%,,,,,,,,
022-093,OZARK R-VI,1050,OZARK HIGH, 428.80 ," 1,765.40 ",24.30%,,,,,,,,
022-093,OZARK R-VI,2050,OZARK JR. HIGH, 278.00 , 942.22 ,29.50%,,,,,,,,
022-093,OZARK R-VI,4040,SOUTH ELEM., 210.50 , 521.51 ,40.40%,,,,,,,,
022-093,OZARK R-VI,4060,OZARK MIDDLE SCHOOL, 289.50 , 928.76 ,31.20%,,,,,,,,
022-093,OZARK R-VI,4070,WEST ELEM., 202.00 , 601.70 ,33.60%,,,,,,,,
022-093,OZARK R-VI,4080,EAST ELEM., 170.60 , 525.75 ,32.50%,,,,,,,,
022-093,OZARK R-VI,4085,NORTH ELEM., 155.70 , 552.36 ,28.20%,,,,,,,,
022-093,OZARK R-VI,7500,OZARK TIGERPAW EARLY CHILD CTR, 8.00 , 19.00 ,42.10%,,,,,,,,
022-094,SPOKANE R-VII,1050,SPOKANE HIGH, 51.70 , 183.70 ,28.10%,,,,,,,,
022-094,SPOKANE R-VII,3000,SPOKANE MIDDLE, 64.50 , 152.50 ,42.30%,,,,,,,,
022-094,SPOKANE R-VII,4020,HIGHLANDVILLE ELEM., 136.50 , 316.50 ,43.10%,,,,,,,,
023-101,CLARK CO. R-I,1050,CLARK CO. HIGH, 121.50 , 292.00 ,41.60%,,,,,,,,
023-101,CLARK CO. R-I,3000,CLARK CO. MIDDLE, 134.50 , 259.50 ,51.80%,,,,,,,,
023-101,CLARK CO. R-I,4040,BLACK HAWK ELEM., 210.50 , 367.50 ,57.30%,,,,,,,,
023-101,CLARK CO. R-I,4060,RUNNING FOX ELEM., 51.00 , 95.00 ,53.70%,,,,,,,,
024-086,KEARNEY R-I,1050,KEARNEY HIGH, 92.60 , 751.57 ,12.30%,,,,,,,,
024-086,KEARNEY R-I,2050,KEARNEY JR. HIGH, 84.00 , 560.43 ,15.00%,,,,,,,,
024-086,KEARNEY R-I,3000,KEARNEY MIDDLE, 95.00 , 506.14 ,18.80%,,,,,,,,
024-086,KEARNEY R-I,4040,KEARNEY ELEM., 80.10 , 242.14 ,33.10%,,,,,,,,
024-086,KEARNEY R-I,4060,HAWTHORNE ELEM., 36.00 , 254.14 ,14.20%,,,,,,,,
024-086,KEARNEY R-I,4080,SOUTHVIEW ELEM., 73.00 , 466.42 ,15.70%,,,,,,,,
024-086,KEARNEY R-I,5020,DOGWOOD ELEM., 85.00 , 467.00 ,18.20%,,,,,,,,
024-086,KEARNEY R-I,5040,LENS, 28.00 , 133.00 ,21.10%,,,,,,,,
024-087,SMITHVILLE R-II,1050,Smithville High, 73.80 , 845.19 ,8.70%,,,,,,,,
024-087,SMITHVILLE R-II,3000,Smithville Middle, 63.00 , 410.00 ,15.40%,,,,,,,,
024-087,SMITHVILLE R-II,4020,Maple Elementary, 80.00 , 359.20 ,22.30%,,,,,,,,
024-087,SMITHVILLE R-II,4030,Eagle Heights Elementary, 60.00 , 446.00 ,13.50%,,,,,,,,
024-087,SMITHVILLE R-II,4040,Horizon Elementary, 59.00 , 434.00 ,13.60%,,,,,,,,
024-089,EXCELSIOR SPRINGS 40,1075,EXCELSIOR SPRINGS HIGH, 249.90 , 725.47 ,34.40%,,,,,,,,
024-089,EXCELSIOR SPRINGS 40,1080,EXCELSIOR SPRINGS TECH. HIGH, 111.00 , 112.00 ,99.10%,,,,,,,,
024-089,EXCELSIOR SPRINGS 40,3000,EXCELSIOR SPRINGS MIDDLE, 292.00 , 564.18 ,51.80%,,,,,,,,
024-089,EXCELSIOR SPRINGS 40,4020,ELKHORN ELEMENTARY, 91.00 , 200.00 ,45.50%,,,,,,,,
024-089,EXCELSIOR SPRINGS 40,4040,LEWIS ELEMENTARY, 257.60 , 415.66 ,62.00%,,,,,,,,
024-089,EXCELSIOR SPRINGS 40,4080,CORNERSTONE ELEMENTARY, 207.00 , 463.00 ,44.70%,,,,,,,,
024-090,LIBERTY 53,1050,LIBERTY HIGH, 353.00 ," 1,954.00 ",18.10%,,,,,,,,
024-090,LIBERTY 53,1070,LIBERTY NORTH HIGH SCHOOL, 348.00 ," 2,294.00 ",15.20%,,,,,,,,
024-090,LIBERTY 53,3050,LIBERTY MIDDLE SCHOOL, 182.00 , 632.02 ,28.80%,,,,,,,,
024-090,LIBERTY 53,3070,SOUTH VALLEY MIDDLE, 126.40 , 790.38 ,16.00%,,,,,,,,
024-090,LIBERTY 53,3080,DISCOVERY MIDDLE SCHOOL, 112.00 , 655.71 ,17.10%,,,,,,,,
024-090,LIBERTY 53,3090,HERITAGE MIDDLE SCHOOL, 176.70 , 783.85 ,22.50%,,,,,,,,
024-090,LIBERTY 53,4020,ALEXANDER DONIPHAN ELEM., 82.00 , 356.66 ,23.00%,,,,,,,,
024-090,LIBERTY 53,4040,FRANKLIN ELEM., 82.00 , 245.00 ,33.50%,,,,,,,,
024-090,LIBERTY 53,4060,LEWIS AND CLARK ELEM., 87.00 , 564.00 ,15.40%,,,,,,,,
024-090,LIBERTY 53,4080,MANOR HILL ELEM., 152.00 , 330.51 ,46.00%,,,,,,,,
024-090,LIBERTY 53,4100,RIDGEVIEW ELEM., 149.50 , 354.45 ,42.20%,,,,,,,,
024-090,LIBERTY 53,4120,LILLIAN SCHUMACHER ELEM., 148.40 , 476.44 ,31.20%,,,,,,,,
024-090,LIBERTY 53,4140,SHOAL CREEK ELEM., 64.00 , 879.00 ,7.30%,,,,,,,,
024-090,LIBERTY 53,4160,LIBERTY OAKS ELEM., 157.00 , 527.00 ,29.80%,,,,,,,,
024-090,LIBERTY 53,4180,WARREN HILLS ELEM., 133.00 , 612.13 ,21.70%,,,,,,,,
024-090,LIBERTY 53,4200,KELLYBROOK ELEM SCHOOL, 139.00 , 528.00 ,26.30%,,,,,,,,
024-090,LIBERTY 53,4220,EPIC ELEMENTARY, 15.00 , 290.00 ,5.20%,,,,,,,,
024-091,MISSOURI CITY 56,4020,MISSOURI CITY ELEM., 9.00 , 19.00 ,47.40%,,,,,,,,
024-093,NORTH KANSAS CITY 74,1050,NORTH KANSAS CITY HIGH, 858.10 ," 1,580.42 ",54.30%,,,,,,,,
024-093,NORTH KANSAS CITY 74,1075,OAK PARK HIGH, 725.90 ," 1,713.28 ",42.40%,,,,,,,,
024-093,NORTH KANSAS CITY 74,1080,STALEY HIGH, 378.00 ," 1,826.41 ",20.70%,,,,,,,,
024-093,NORTH KANSAS CITY 74,1090,WINNETONKA HIGH, 716.90 ," 1,236.89 ",58.00%,,,,,,,,
024-093,NORTH KANSAS CITY 74,3000,ANTIOCH MIDDLE, 385.00 , 849.57 ,45.30%,,,,,,,,
024-093,NORTH KANSAS CITY 74,3100,EASTGATE 6TH GRADE CENTER, 382.00 , 609.14 ,62.70%,,,,,,,,
024-093,NORTH KANSAS CITY 74,3150,MAPLE PARK MIDDLE, 406.00 , 629.00 ,64.50%,,,,,,,,
024-093,NORTH KANSAS CITY 74,3160,GATEWAY 6TH GRADE CENTER, 321.00 , 923.00 ,34.80%,,,,,,,,
024-093,NORTH KANSAS CITY 74,3180,NEW MARK MIDDLE, 231.10 , 992.96 ,23.30%,,,,,,,,
024-093,NORTH KANSAS CITY 74,3200,NORTHGATE MIDDLE, 436.40 , 683.57 ,63.80%,,,,,,,,
024-093,NORTH KANSAS CITY 74,4020,RISING HILL ELEMENTARY, 93.00 , 340.00 ,27.40%,,,,,,,,
024-093,NORTH KANSAS CITY 74,4040,BELL PRAIRIE ELEMENTARY, 192.40 , 746.40 ,25.80%,,,,,,,,
024-093,NORTH KANSAS CITY 74,4060,BRIARCLIFF ELEMENTARY, 144.00 , 321.00 ,44.90%,,,,,,,,
024-093,NORTH KANSAS CITY 74,4080,CHAPEL HILL ELEMENTARY, 236.00 , 603.00 ,39.10%,,,,,,,,
024-093,NORTH KANSAS CITY 74,4100,CHOUTEAU ELEMENTARY, 226.00 , 325.02 ,69.50%,,,,,,,,
024-093,NORTH KANSAS CITY 74,4110,NORTHVIEW ELEMENTARY, 99.00 , 661.28 ,15.00%,,,,,,,,
024-093,NORTH KANSAS CITY 74,4120,CLARDY ELEMENTARY, 198.00 , 497.00 ,39.80%,,,,,,,,
024-093,NORTH KANSAS CITY 74,4160,CRESTVIEW ELEMENTARY, 284.00 , 425.00 ,66.80%,,,,,,,,
024-093,NORTH KANSAS CITY 74,4180,DAVIDSON ELEMENTARY, 314.00 , 526.00 ,59.70%,,,,,,,,
024-093,NORTH KANSAS CITY 74,4200,FOX HILL ELEMENTARY, 222.00 , 594.00 ,37.40%,,,,,,,,
024-093,NORTH KANSAS CITY 74,4280,GASHLAND ELEMENTARY, 90.00 , 226.00 ,39.80%,,,,,,,,
024-093,NORTH KANSAS CITY 74,4320,GRACEMOR ELEMENTARY, 409.00 , 627.00 ,65.20%,,,,,,,,
024-093,NORTH KANSAS CITY 74,4340,LAKEWOOD ELEMENTARY, 124.00 , 198.00 ,62.60%,,,,,,,,
024-093,NORTH KANSAS CITY 74,4380,LINDEN WEST ELEMENTARY, 267.00 , 452.00 ,59.10%,,,,,,,,
024-093,NORTH KANSAS CITY 74,4400,MAPLEWOOD ELEMENTARY, 204.00 , 290.00 ,70.30%,,,,,,,,
024-093,NORTH KANSAS CITY 74,4420,MEADOWBROOK ELEMENTARY, 278.00 , 497.00 ,55.90%,,,,,,,,
024-093,NORTH KANSAS CITY 74,4440,NASHUA ELEMENTARY, 69.00 , 332.00 ,20.80%,,,,,,,,
024-093,NORTH KANSAS CITY 74,4500,OAKWOOD MANOR ELEMENTARY, 99.00 , 198.00 ,50.00%,,,,,,,,
024-093,NORTH KANSAS CITY 74,4540,RAVENWOOD ELEMENTARY, 170.00 , 314.00 ,54.10%,,,,,,,,
024-093,NORTH KANSAS CITY 74,4560,TOPPING ELEMENTARY, 218.00 , 309.00 ,70.60%,,,,,,,,
024-093,NORTH KANSAS CITY 74,4570,WEST ENGLEWOOD ELEMENTARY, 271.00 , 411.00 ,65.90%,,,,,,,,
024-093,NORTH KANSAS CITY 74,4580,WINNWOOD ELEMENTARY, 190.00 , 237.00 ,80.20%,,,,,,,,
025-001,CAMERON R-I,1050,CAMERON HIGH, 76.00 , 215.00 ,35.30%,,,,,,,,
025-001,CAMERON R-I,3000,CAMERON VETERANS MIDDLE, 129.00 , 327.00 ,39.40%,,,,,,,,
025-001,CAMERON R-I,4020,PARKVIEW ELEM., 185.20 , 393.74 ,47.00%,,,,,,,,
025-001,CAMERON R-I,4040,CAMERON INTERMEDIATE SCHOOL, 136.00 , 331.02 ,41.10%,,,,,,,,
025-002,LATHROP R-II,1050,LATHROP HIGH SCHOOL, 69.80 , 289.33 ,24.10%,,,,,,,,
025-002,LATHROP R-II,3000,LATHROP MIDDLE SCHOOL, 54.00 , 191.95 ,28.10%,,,,,,,,
025-002,LATHROP R-II,4020,LATHROP ELEMENTARY SCHOOL, 142.00 , 387.00 ,36.70%,,,,,,,,
025-003,CLINTON CO. R-III,1050,PLATTSBURG HIGH, 59.00 , 172.77 ,34.10%,,,,,,,,
025-003,CLINTON CO. R-III,3000,CLINTON CO. R-III MIDDLE, 66.00 , 148.00 ,44.60%,,,,,,,,
025-003,CLINTON CO. R-III,4020,ELLIS ELEM., 116.00 , 310.68 ,37.30%,,,,,,,,
026-001,COLE CO. R-I,1050,RUSSELLVILLE HIGH, 72.00 , 280.00 ,25.70%,,,,,,,,
026-001,COLE CO. R-I,4020,COLE CO. R-I ELEM., 95.00 , 306.00 ,31.00%,,,,,,,,
026-002,BLAIR OAKS R-II,1050,BLAIR OAKS HIGH, 37.10 , 447.30 ,8.30%,,,,,,,,
026-002,BLAIR OAKS R-II,3000,BLAIR OAKS MIDDLE SCHOOL, 24.00 , 264.57 ,9.10%,,,,,,,,
026-002,BLAIR OAKS R-II,4020,BLAIR OAKS ELEM., 17.00 , 183.14 ,9.30%,,,,,,,,
026-002,BLAIR OAKS R-II,4030,BLAIR OAKS INTERMEDIATE, 28.00 , 252.00 ,11.10%,,,,,,,,
026-005,COLE CO. R-V,1050,EUGENE HIGH, 48.00 , 270.43 ,17.70%,,,,,,,,
026-005,COLE CO. R-V,4020,EUGENE ELEM., 73.00 , 324.06 ,22.50%,,,,,,,,
026-006,JEFFERSON CITY,1050,JEFFERSON CITY HIGH, 564.60 ," 1,184.73 ",47.70%,,,,,,,,
026-006,JEFFERSON CITY,1060,CAPITAL CITY HIGH SCHOOL, 480.20 ," 1,270.19 ",37.80%,,,,,,,,
026-006,JEFFERSON CITY,3000,LEWIS AND CLARK MIDDLE, 524.90 , 979.83 ,53.60%,,,,,,,,
026-006,JEFFERSON CITY,3020,THOMAS JEFFERSON MIDDLE, 462.60 , 920.11 ,50.30%,,,,,,,,
026-006,JEFFERSON CITY,4020,BELAIR ELEM., 215.40 , 374.62 ,57.50%,,,,,,,,
026-006,JEFFERSON CITY,4025,CALLAWAY HILLS ELEM., 139.70 , 246.65 ,56.60%,,,,,,,,
026-006,JEFFERSON CITY,4030,CEDAR HILL ELEM., 137.30 , 317.37 ,43.20%,,,,,,,,
026-006,JEFFERSON CITY,4040,EAST ELEM., 294.70 , 294.67 ,100.00%,Yes,,,,,,,
026-006,JEFFERSON CITY,4050,CLARENCE LAWSON ELEM., 215.50 , 419.95 ,51.30%,,,,,,,,
026-006,JEFFERSON CITY,4060,MOREAU HEIGHTS ELEM., 191.70 , 326.33 ,58.70%,,,,,,,,
026-006,JEFFERSON CITY,4070,NORTH ELEM., 188.00 , 383.38 ,49.00%,,,,,,,,
026-006,JEFFERSON CITY,4080,SOUTH ELEM., 295.90 , 295.93 ,100.00%,Yes,,,,,,,
026-006,JEFFERSON CITY,5010,PIONEER TRAIL ELEMENTARY, 220.70 , 461.90 ,47.80%,,,,,,,,
026-006,JEFFERSON CITY,5020,THORPE J. GORDON ELEM., 270.10 , 270.08 ,100.00%,Yes,,,,,,,
026-006,JEFFERSON CITY,5040,WEST ELEM., 159.40 , 300.70 ,53.00%,,,,,,,,
027-055,BLACKWATER R-II,4020,BLACKWATER ELEM., 32.00 , 82.00 ,39.00%,,,,,,,,
027-056,COOPER CO. R-IV,1050,BUNCETON HIGH, 40.00 , 40.00 ,100.00%,Yes,,,,,,,
027-056,COOPER CO. R-IV,4020,BUNCETON ELEM., 42.00 , 42.00 ,100.00%,Yes,,,,,,,
027-057,PRAIRIE HOME R-V,1050,PRAIRIE HOME HIGH, 26.00 , 70.00 ,37.10%,,,,,,,,
027-057,PRAIRIE HOME R-V,4020,PRAIRIE HOME ELEM., 37.00 , 70.00 ,52.90%,,,,,,,,
027-058,OTTERVILLE R-VI,1050,OTTERVILLE HIGH, 43.00 , 109.00 ,39.40%,,,,,,,,
027-058,OTTERVILLE R-VI,4020,OTTERVILLE ELEM., 37.00 , 98.00 ,37.80%,,,,,,,,
027-059,PILOT GROVE C-4,1050,PILOT GROVE HIGH, 31.00 , 119.16 ,26.00%,,,,,,,,
027-059,PILOT GROVE C-4,4020,PILOT GROVE ELEM., 30.00 , 80.00 ,37.50%,,,,,,,,
